.HEADER
..NAMES
Time,V U2.P3
.DATA
4.01384e-008,0.2487
4.01844e-008,0.2475
4.02303e-008,0.2476
4.02762e-008,0.2489
4.03221e-008,0.2508
4.03681e-008,0.2523
4.04140e-008,0.2529
4.04599e-008,0.2523
4.05058e-008,0.2509
4.05518e-008,0.2493
4.05977e-008,0.2482
4.06436e-008,0.2480
4.06895e-008,0.2487
4.07355e-008,0.2500
4.07814e-008,0.2511
4.08273e-008,0.2518
4.08732e-008,0.2517
4.09192e-008,0.2510
4.09651e-008,0.2499
4.10110e-008,0.2489
4.10569e-008,0.2484
4.11029e-008,0.2486
4.11488e-008,0.2493
4.11947e-008,0.2502
4.12407e-008,0.2509
4.12866e-008,0.2512
4.13325e-008,0.2509
4.13784e-008,0.2502
4.14244e-008,0.2493
4.14703e-008,0.2487
4.15162e-008,0.2486
4.15621e-008,0.2490
4.16081e-008,0.2497
4.16540e-008,0.2504
4.16999e-008,0.2507
4.17458e-008,0.2506
4.17918e-008,0.2501
4.18377e-008,0.2495
4.18836e-008,0.2490
4.19295e-008,0.2488
4.19755e-008,0.2490
4.20214e-008,0.2525
4.20673e-008,0.2938
4.21132e-008,0.4010
4.21592e-008,0.5192
4.22051e-008,0.6796
4.22510e-008,0.8630
4.22969e-008,1.0124
4.23429e-008,1.1182
4.23888e-008,1.1732
4.24347e-008,1.1810
4.24806e-008,1.1700
4.25266e-008,1.1564
4.25725e-008,1.1532
4.26184e-008,1.1731
4.26643e-008,1.2058
4.27103e-008,1.2379
4.27562e-008,1.2602
4.28021e-008,1.2659
4.28480e-008,1.2588
4.28940e-008,1.2397
4.29399e-008,1.2149
4.29858e-008,1.1974
4.30317e-008,1.1917
4.30777e-008,1.2005
4.31236e-008,1.2166
4.31695e-008,1.2375
4.32154e-008,1.2536
4.32613e-008,1.2562
4.33073e-008,1.2471
4.33532e-008,1.2299
4.33991e-008,1.2142
4.34450e-008,1.2058
4.34910e-008,1.2066
4.35369e-008,1.2155
4.35828e-008,1.2266
4.36287e-008,1.2315
4.36747e-008,1.2295
4.37206e-008,1.2217
4.37665e-008,1.2118
4.38124e-008,1.2058
4.38584e-008,1.2055
4.39043e-008,1.2110
4.39502e-008,1.2212
