.HEADER
..NAMES
Time,V U3.A3
.DATA
3.59764e-008,0.7070
3.60188e-008,0.8711
3.60613e-008,0.9872
3.61037e-008,1.0832
3.61461e-008,1.1498
3.61885e-008,1.1980
3.62310e-008,1.2236
3.62734e-008,1.2407
3.63158e-008,1.2496
3.63582e-008,1.2552
3.64006e-008,1.2641
3.64431e-008,1.2654
3.64855e-008,1.2696
3.65279e-008,1.2705
3.65703e-008,1.2692
3.66128e-008,1.2608
3.66552e-008,1.2563
3.66976e-008,1.2684
3.67401e-008,1.2742
3.67825e-008,1.2242
3.68249e-008,1.0292
3.68673e-008,0.8409
3.69097e-008,0.6846
3.69522e-008,0.5204
3.69946e-008,0.4101
3.70370e-008,0.3303
3.70794e-008,0.2747
3.71219e-008,0.2411
3.71643e-008,0.2276
3.72067e-008,0.2202
3.72492e-008,0.2131
3.72916e-008,0.2127
3.73340e-008,0.2044
3.73764e-008,0.2036
3.74189e-008,0.2001
3.74613e-008,0.1981
3.75037e-008,0.2049
3.75461e-008,0.2191
3.75885e-008,0.2219
3.76310e-008,0.1986
3.76734e-008,0.1865
3.77158e-008,0.2167
3.77583e-008,0.3583
3.78007e-008,0.5327
3.78431e-008,0.7066
3.78855e-008,0.8797
3.79280e-008,0.9963
3.79704e-008,1.0947
3.80128e-008,1.1611
3.80552e-008,1.2050
3.80976e-008,1.2299
3.81401e-008,1.2412
3.81825e-008,1.2521
3.82249e-008,1.2558
3.82673e-008,1.2647
3.83098e-008,1.2673
3.83522e-008,1.2749
3.83946e-008,1.2762
3.84371e-008,1.2681
3.84795e-008,1.2575
3.85219e-008,1.2546
3.85643e-008,1.2694
3.86067e-008,1.2818
3.86492e-008,1.2811
3.86916e-008,1.2799
3.87340e-008,1.2707
3.87764e-008,1.2638
3.88189e-008,1.2599
3.88613e-008,1.2556
3.89037e-008,1.2526
3.89462e-008,1.2509
3.89886e-008,1.2523
3.90310e-008,1.2533
3.90734e-008,1.2559
3.91159e-008,1.2564
3.91583e-008,1.2573
3.92007e-008,1.2582
3.92431e-008,1.2559
3.92855e-008,1.2535
3.93280e-008,1.2536
3.93704e-008,1.2581
3.94128e-008,1.2606
3.94553e-008,1.2587
3.94977e-008,1.2572
3.95401e-008,1.2558
3.95825e-008,1.2556
3.96250e-008,1.2570
3.96674e-008,1.2575
3.97098e-008,1.2574
3.97522e-008,1.2576
3.97946e-008,1.2581
3.98371e-008,1.2584
3.98795e-008,1.2586
3.99219e-008,1.2584
3.99644e-008,1.2580
4.00068e-008,1.2583
4.00492e-008,1.2578
4.00916e-008,1.2572
4.01341e-008,1.2575
4.01765e-008,1.2588
4.02189e-008,1.2593
4.02613e-008,1.2583
4.03037e-008,1.2578
4.03462e-008,1.2577
4.03886e-008,1.2580
4.04310e-008,1.2586
4.04734e-008,1.2586
4.05159e-008,1.2584
4.05583e-008,1.2583
4.06007e-008,1.2585
4.06432e-008,1.2585
4.06856e-008,1.2586
4.07280e-008,1.2585
4.07704e-008,1.2584
4.08128e-008,1.2586
4.08553e-008,1.2586
4.08977e-008,1.2584
4.09401e-008,1.2585
4.09825e-008,1.2589
4.10250e-008,1.2589
4.10674e-008,1.2586
4.11098e-008,1.2585
4.11523e-008,1.2586
4.11947e-008,1.2587
4.12371e-008,1.2589
4.12795e-008,1.2589
4.13220e-008,1.2587
4.13644e-008,1.2587
4.14068e-008,1.2588
4.14492e-008,1.2589
4.14916e-008,1.2589
4.15341e-008,1.2588
4.15765e-008,1.2588
4.16189e-008,1.2589
4.16614e-008,1.2589
4.17038e-008,1.2589
4.17462e-008,1.2589
4.17886e-008,1.2590
4.18311e-008,1.2590
4.18735e-008,1.2589
4.19159e-008,1.2589
4.19583e-008,1.2590
4.20007e-008,1.2590
4.20432e-008,1.2591
4.20856e-008,1.2591
4.21280e-008,1.2590
4.21704e-008,1.2590
4.22129e-008,1.2591
4.22553e-008,1.2591
4.22977e-008,1.2591
4.23402e-008,1.2591
4.23826e-008,1.2520
4.24250e-008,1.1578
4.24674e-008,0.9579
4.25098e-008,0.8155
4.25523e-008,0.6483
4.25947e-008,0.4977
4.26371e-008,0.3978
4.26795e-008,0.3261
4.27220e-008,0.2757
4.27644e-008,0.2452
4.28068e-008,0.2330
4.28493e-008,0.2195
4.28917e-008,0.2184
4.29341e-008,0.2129
4.29765e-008,0.2071
4.30190e-008,0.2067
4.30614e-008,0.2045
4.31038e-008,0.2041
4.31462e-008,0.2101
4.31886e-008,0.2224
4.32311e-008,0.2161
4.32735e-008,0.1948
4.33159e-008,0.1962
4.33584e-008,0.2013
4.34008e-008,0.2000
4.34432e-008,0.2091
4.34856e-008,0.2168
4.35281e-008,0.2202
4.35705e-008,0.2246
4.36129e-008,0.2275
4.36553e-008,0.2264
4.36977e-008,0.2264
4.37402e-008,0.2259
4.37826e-008,0.2226
4.38250e-008,0.2239
4.38675e-008,0.2235
4.39099e-008,0.2223
4.39523e-008,0.2241
4.39947e-008,0.2275
4.40372e-008,0.2252
4.40796e-008,0.2193
4.41220e-008,0.2209
4.41644e-008,0.2239
4.42068e-008,0.2231
4.42493e-008,0.2242
4.42917e-008,0.2656
4.43341e-008,0.4074
4.43765e-008,0.5516
4.44190e-008,0.7302
4.44614e-008,0.8858
4.45038e-008,1.0002
4.45463e-008,1.0934
4.45887e-008,1.1565
4.46311e-008,1.2036
4.46735e-008,1.2273
4.47160e-008,1.2437
4.47584e-008,1.2514
4.48008e-008,1.2593
4.48432e-008,1.2660
4.48856e-008,1.2659
4.49281e-008,1.2708
4.49705e-008,1.2725
4.50129e-008,1.2703
4.50554e-008,1.2611
4.50978e-008,1.2585
4.51402e-008,1.2710
4.51826e-008,1.2774
