.HEADER
..NAMES
Time,V U3.E7
.DATA
2.74065e-008,1.6533
2.74490e-008,1.5888
2.74914e-008,1.5097
2.75338e-008,1.4232
2.75763e-008,1.3495
2.76187e-008,1.3059
2.76611e-008,1.2922
2.77035e-008,1.2990
2.77459e-008,1.3257
2.77884e-008,1.3531
2.78308e-008,1.3708
2.78732e-008,1.3782
2.79157e-008,1.3778
2.79581e-008,1.3708
2.80005e-008,1.3615
2.80429e-008,1.3590
2.80854e-008,1.3661
2.81278e-008,1.3834
2.81702e-008,1.3994
2.82126e-008,1.4080
2.82550e-008,1.4212
2.82975e-008,1.4405
2.83399e-008,1.4635
2.83823e-008,1.4923
2.84248e-008,1.5257
2.84672e-008,1.5560
2.85096e-008,1.5746
2.85520e-008,1.5821
2.85944e-008,1.5786
2.86369e-008,1.5649
2.86793e-008,1.5499
2.87217e-008,1.5402
2.87642e-008,1.5369
2.88066e-008,1.5382
2.88490e-008,1.5435
2.88914e-008,1.5500
2.89339e-008,1.5534
2.89763e-008,1.5506
2.90187e-008,1.5416
2.90611e-008,1.5329
2.91035e-008,1.5271
2.91460e-008,1.5221
2.91884e-008,1.5164
2.92308e-008,1.5095
2.92733e-008,1.5001
2.93157e-008,1.4877
2.93581e-008,1.4758
2.94005e-008,1.4675
2.94429e-008,1.4631
2.94854e-008,1.4638
2.95278e-008,1.4699
2.95702e-008,1.4777
2.96127e-008,1.4833
2.96551e-008,1.4856
2.96975e-008,1.4851
2.97399e-008,1.4820
2.97824e-008,1.4780
2.98248e-008,1.4752
2.98672e-008,1.4759
2.99096e-008,1.4800
2.99521e-008,1.4848
2.99945e-008,1.4886
3.00369e-008,1.4911
3.00793e-008,1.4928
3.01218e-008,1.4945
3.01642e-008,1.4973
3.02066e-008,1.5106
3.02490e-008,1.4986
3.02914e-008,1.4103
3.03339e-008,1.3022
3.03763e-008,1.1112
3.04187e-008,0.8571
3.04612e-008,0.5858
3.05036e-008,0.3292
3.05460e-008,0.1085
