.HEADER
..NAMES
Time,V U3.P8
.DATA
4.47769e-008,0.2983
4.48228e-008,0.2842
4.48687e-008,0.2710
4.49146e-008,0.2617
4.49606e-008,0.2560
4.50065e-008,0.2530
4.50524e-008,0.2513
4.50983e-008,0.2489
4.51443e-008,0.2446
4.51902e-008,0.2384
4.52361e-008,0.2314
4.52821e-008,0.2262
4.53280e-008,0.2244
4.53739e-008,0.2261
4.54198e-008,0.2303
4.54658e-008,0.2353
4.55117e-008,0.2395
4.55576e-008,0.2425
4.56035e-008,0.2444
4.56495e-008,0.2457
4.56954e-008,0.2472
4.57413e-008,0.2494
4.57872e-008,0.2522
4.58332e-008,0.2559
4.58791e-008,0.2660
4.59250e-008,0.2991
4.59709e-008,0.3617
4.60169e-008,0.4454
4.60628e-008,0.5572
4.61087e-008,0.7010
4.61546e-008,0.8497
4.62006e-008,0.9813
4.62465e-008,1.0916
4.62924e-008,1.1669
4.63383e-008,1.2000
4.63843e-008,1.2048
4.64302e-008,1.1936
4.64761e-008,1.1751
4.65220e-008,1.1623
4.65680e-008,1.1610
4.66139e-008,1.1687
4.66598e-008,1.1836
4.67057e-008,1.2010
4.67517e-008,1.2143
4.67976e-008,1.2214
4.68435e-008,1.2242
4.68894e-008,1.2247
4.69354e-008,1.2257
4.69813e-008,1.2292
4.70272e-008,1.2347
4.70731e-008,1.2409
4.71190e-008,1.2464
4.71650e-008,1.2491
4.72109e-008,1.2484
4.72568e-008,1.2448
4.73027e-008,1.2392
4.73487e-008,1.2335
4.73946e-008,1.2296
4.74405e-008,1.2278
4.74864e-008,1.2271
4.75324e-008,1.2267
4.75783e-008,1.2251
4.76242e-008,1.2222
4.76701e-008,1.2187
4.77161e-008,1.2162
4.77620e-008,1.2155
4.78079e-008,1.2171
4.78538e-008,1.2205
4.78998e-008,1.2248
4.79457e-008,1.2284
4.79916e-008,1.2304
4.80375e-008,1.2302
4.80835e-008,1.2279
4.81294e-008,1.2247
4.81753e-008,1.2216
4.82212e-008,1.2197
4.82672e-008,1.2195
4.83131e-008,1.2207
4.83590e-008,1.2226
4.84049e-008,1.2243
4.84509e-008,1.2253
4.84968e-008,1.2252
4.85427e-008,1.2243
4.85886e-008,1.2231
4.86346e-008,1.2222
4.86805e-008,1.2219
4.87264e-008,1.2224
4.87723e-008,1.2236
4.88183e-008,1.2249
4.88642e-008,1.2257
4.89101e-008,1.2258
