.HEADER
..NAMES
Time,V U2.L2
.DATA
4.50983e-008,1.2540
4.51443e-008,1.2589
4.51902e-008,1.2575
4.52361e-008,1.2460
4.52821e-008,1.2310
4.53280e-008,1.2189
4.53739e-008,1.2136
4.54198e-008,1.2190
4.54658e-008,1.2318
4.55117e-008,1.2435
4.55576e-008,1.2465
4.56035e-008,1.2375
4.56495e-008,1.2209
4.56954e-008,1.2034
4.57413e-008,1.1942
4.57872e-008,1.1969
4.58332e-008,1.2100
4.58791e-008,1.2257
4.59250e-008,1.2371
4.59709e-008,1.2398
4.60169e-008,1.2339
4.60628e-008,1.2239
4.61087e-008,1.2145
4.61546e-008,1.2092
4.62006e-008,1.2095
4.62465e-008,1.2136
4.62924e-008,1.2192
4.63383e-008,1.2241
4.63843e-008,1.2267
4.64302e-008,1.2272
4.64761e-008,1.2256
4.65220e-008,1.2226
4.65680e-008,1.2190
4.66139e-008,1.2153
4.66598e-008,1.2134
4.67057e-008,1.2141
4.67517e-008,1.2178
4.67976e-008,1.2232
4.68435e-008,1.2281
4.68894e-008,1.2299
4.69354e-008,1.2275
4.69813e-008,1.2222
4.70272e-008,1.2165
4.70731e-008,1.2135
4.71190e-008,1.2148
4.71650e-008,1.2195
4.72109e-008,1.2249
4.72568e-008,1.2283
4.73027e-008,1.2281
4.73487e-008,1.2250
4.73946e-008,1.2207
4.74405e-008,1.2175
4.74864e-008,1.2168
4.75324e-008,1.2184
4.75783e-008,1.2212
4.76242e-008,1.2237
4.76701e-008,1.2250
4.77161e-008,1.2249
4.77620e-008,1.2238
4.78079e-008,1.2225
4.78538e-008,1.2214
4.78998e-008,1.2207
4.79457e-008,1.2204
4.79916e-008,1.2205
4.80375e-008,1.2211
4.80835e-008,1.2221
4.81294e-008,1.2234
4.81753e-008,1.2244
4.82212e-008,1.2246
4.82672e-008,1.2237
4.83131e-008,1.2220
4.83590e-008,1.2203
4.84049e-008,1.2195
4.84509e-008,1.2202
4.84968e-008,1.2220
4.85427e-008,1.2239
4.85886e-008,1.2251
4.86346e-008,1.2248
