.HEADER
..NAMES
Time,V U3.C7&B7
.DATA
3.94553e-008,0.2379
3.94977e-008,0.2053
3.95401e-008,0.1973
3.95825e-008,0.2078
3.96250e-008,0.2095
3.96674e-008,0.2059
3.97098e-008,0.2053
3.97522e-008,0.2048
3.97946e-008,0.2053
3.98371e-008,0.2067
3.98795e-008,0.2093
3.99219e-008,0.2072
3.99644e-008,0.2038
4.00068e-008,0.2012
4.00492e-008,0.2160
4.00916e-008,0.3099
4.01341e-008,0.4756
4.01765e-008,0.6562
4.02189e-008,0.8352
4.02613e-008,0.9735
4.03037e-008,1.0745
4.03462e-008,1.1335
4.03886e-008,1.1863
4.04310e-008,1.2327
4.04734e-008,1.2521
4.05159e-008,1.2503
4.05583e-008,1.2529
4.06007e-008,1.2591
4.06432e-008,1.2600
4.06856e-008,1.2629
4.07280e-008,1.2670
4.07704e-008,1.2693
4.08128e-008,1.2658
4.08553e-008,1.2639
4.08977e-008,1.2668
4.09401e-008,1.2713
4.09825e-008,1.2551
4.10250e-008,1.1468
4.10674e-008,0.9481
4.11098e-008,0.7512
4.11523e-008,0.5775
4.11947e-008,0.4465
4.12371e-008,0.3478
4.12795e-008,0.2899
4.13220e-008,0.2464
4.13644e-008,0.2098
4.14068e-008,0.1968
4.14492e-008,0.2056
4.14916e-008,0.2103
4.15341e-008,0.2062
4.15765e-008,0.2055
4.16189e-008,0.2047
4.16614e-008,0.2053
4.17038e-008,0.2062
4.17462e-008,0.2091
4.17886e-008,0.2078
4.18311e-008,0.2044
4.18735e-008,0.2014
4.19159e-008,0.2092
4.19583e-008,0.2834
4.20007e-008,0.4415
4.20432e-008,0.6197
4.20856e-008,0.8028
4.21280e-008,0.9494
4.21704e-008,1.0582
4.22129e-008,1.1239
4.22553e-008,1.1754
4.22977e-008,1.2256
4.23402e-008,1.2505
4.23826e-008,1.2511
4.24250e-008,1.2514
4.24674e-008,1.2585
4.25098e-008,1.2597
4.25523e-008,1.2622
4.25947e-008,1.2661
4.26371e-008,1.2694
4.26795e-008,1.2666
4.27220e-008,1.2639
4.27644e-008,1.2658
4.28068e-008,1.2708
4.28493e-008,1.2628
4.28917e-008,1.1779
4.29341e-008,0.9887
4.29765e-008,0.7884
4.30190e-008,0.6083
4.30614e-008,0.4693
4.31038e-008,0.3641
4.31462e-008,0.2986
4.31886e-008,0.2551
4.32311e-008,0.2153
4.32735e-008,0.1974
4.33159e-008,0.2031
4.33584e-008,0.2107
4.34008e-008,0.2067
4.34432e-008,0.2056
4.34856e-008,0.2047
4.35281e-008,0.2052
4.35705e-008,0.2057
4.36129e-008,0.2087
4.36553e-008,0.2084
4.36977e-008,0.2051
4.37402e-008,0.2018
4.37826e-008,0.2049
4.38250e-008,0.2606
4.38675e-008,0.4076
4.39099e-008,0.5837
4.39523e-008,0.7687
4.39947e-008,0.9241
4.40372e-008,1.0400
4.40796e-008,1.1139
4.41220e-008,1.1645
4.41644e-008,1.2174
4.42068e-008,1.2478
4.42493e-008,1.2521
4.42917e-008,1.2502
4.43341e-008,1.2576
4.43765e-008,1.2596
4.44190e-008,1.2616
4.44614e-008,1.2652
4.45038e-008,1.2691
4.45463e-008,1.2674
4.45887e-008,1.2640
4.46311e-008,1.2651
4.46735e-008,1.2699
4.47160e-008,1.2675
4.47584e-008,1.2043
4.48008e-008,1.0294
4.48432e-008,0.8262
4.48856e-008,0.6410
4.49281e-008,0.4933
4.49705e-008,0.3821
4.50129e-008,0.3082
4.50554e-008,0.2638
4.50978e-008,0.2217
