.HEADER
..NAMES
Time,V U2.H3
.DATA
3.58067e-008,1.2750
3.58491e-008,1.2661
3.58915e-008,1.2590
3.59340e-008,1.2550
3.59764e-008,1.2531
3.60188e-008,1.2526
3.60613e-008,1.2540
3.61037e-008,1.2551
3.61461e-008,1.2556
3.61885e-008,1.2565
3.62310e-008,1.2577
3.62734e-008,1.2587
3.63158e-008,1.2596
3.63582e-008,1.2600
3.64006e-008,1.2594
3.64431e-008,1.2586
3.64855e-008,1.2577
3.65279e-008,1.2566
3.65703e-008,1.2565
3.66128e-008,1.2574
3.66552e-008,1.2586
3.66976e-008,1.2594
3.67401e-008,1.2598
3.67825e-008,1.2598
3.68249e-008,1.2598
3.68673e-008,1.2597
3.69097e-008,1.2594
3.69522e-008,1.2593
3.69946e-008,1.2594
3.70370e-008,1.2594
3.70794e-008,1.2592
3.71219e-008,1.2591
3.71643e-008,1.2590
3.72067e-008,1.2591
3.72492e-008,1.2592
3.72916e-008,1.2593
3.73340e-008,1.2595
3.73764e-008,1.2596
3.74189e-008,1.2596
3.74613e-008,1.2595
3.75037e-008,1.2594
3.75461e-008,1.2593
3.75885e-008,1.2593
3.76310e-008,1.2594
3.76734e-008,1.2594
3.77158e-008,1.2594
3.77583e-008,1.2595
3.78007e-008,1.2595
3.78431e-008,1.2595
3.78855e-008,1.2595
3.79280e-008,1.2595
3.79704e-008,1.2596
3.80128e-008,1.2596
3.80552e-008,1.2596
3.80976e-008,1.2596
3.81401e-008,1.2596
3.81825e-008,1.2596
3.82249e-008,1.2596
3.82673e-008,1.2596
3.83098e-008,1.2596
3.83522e-008,1.2596
3.83946e-008,1.2596
3.84371e-008,1.2596
3.84795e-008,1.2596
3.85219e-008,1.2596
3.85643e-008,1.2591
3.86067e-008,1.2415
3.86492e-008,1.1385
3.86916e-008,0.9602
3.87340e-008,0.7937
3.87764e-008,0.6371
3.88189e-008,0.4888
3.88613e-008,0.3803
3.89037e-008,0.3124
3.89462e-008,0.2700
3.89886e-008,0.2444
3.90310e-008,0.2250
3.90734e-008,0.2161
3.91159e-008,0.2163
3.91583e-008,0.2162
3.92007e-008,0.2152
3.92431e-008,0.2167
3.92855e-008,0.2156
3.93280e-008,0.2096
3.93704e-008,0.2030
3.94128e-008,0.1941
3.94553e-008,0.1858
3.94977e-008,0.1892
3.95401e-008,0.1997
3.95825e-008,0.2078
3.96250e-008,0.2151
3.96674e-008,0.2220
3.97098e-008,0.2261
3.97522e-008,0.2272
3.97946e-008,0.2258
3.98371e-008,0.2245
3.98795e-008,0.2251
3.99219e-008,0.2248
3.99644e-008,0.2230
4.00068e-008,0.2221
4.00492e-008,0.2216
4.00916e-008,0.2207
4.01341e-008,0.2206
4.01765e-008,0.2212
4.02189e-008,0.2221
4.02613e-008,0.2235
4.03037e-008,0.2244
4.03462e-008,0.2237
4.03886e-008,0.2225
4.04310e-008,0.2218
4.04734e-008,0.2212
4.05159e-008,0.2209
4.05583e-008,0.2207
4.06007e-008,0.2207
4.06432e-008,0.2211
4.06856e-008,0.2213
4.07280e-008,0.2210
4.07704e-008,0.2209
4.08128e-008,0.2211
4.08553e-008,0.2212
4.08977e-008,0.2212
4.09401e-008,0.2213
4.09825e-008,0.2213
4.10250e-008,0.2212
4.10674e-008,0.2210
4.11098e-008,0.2207
4.11523e-008,0.2206
4.11947e-008,0.2207
4.12371e-008,0.2209
4.12795e-008,0.2209
4.13220e-008,0.2209
4.13644e-008,0.2209
4.14068e-008,0.2240
4.14492e-008,0.2703
4.14916e-008,0.3953
4.15341e-008,0.5536
4.15765e-008,0.7247
4.16189e-008,0.8822
4.16614e-008,1.0050
4.17038e-008,1.0966
4.17462e-008,1.1608
4.17886e-008,1.2012
4.18311e-008,1.2279
4.18735e-008,1.2446
4.19159e-008,1.2531
4.19583e-008,1.2576
4.20007e-008,1.2595
4.20432e-008,1.2590
4.20856e-008,1.2600
4.21280e-008,1.2644
4.21704e-008,1.2700
4.22129e-008,1.2774
4.22553e-008,1.2861
4.22977e-008,1.2886
4.23402e-008,1.2831
4.23826e-008,1.2744
4.24250e-008,1.2654
4.24674e-008,1.2584
4.25098e-008,1.2544
4.25523e-008,1.2523
4.25947e-008,1.2524
4.26371e-008,1.2537
4.26795e-008,1.2544
4.27220e-008,1.2551
4.27644e-008,1.2561
4.28068e-008,1.2570
4.28493e-008,1.2579
4.28917e-008,1.2590
4.29341e-008,1.2594
4.29765e-008,1.2590
4.30190e-008,1.2583
4.30614e-008,1.2573
4.31038e-008,1.2562
4.31462e-008,1.2562
4.31886e-008,1.2570
4.32311e-008,1.2581
4.32735e-008,1.2590
4.33159e-008,1.2594
4.33584e-008,1.2594
4.34008e-008,1.2594
4.34432e-008,1.2592
4.34856e-008,1.2590
4.35281e-008,1.2590
4.35705e-008,1.2591
4.36129e-008,1.2590
4.36553e-008,1.2590
4.36977e-008,1.2588
4.37402e-008,1.2587
4.37826e-008,1.2588
4.38250e-008,1.2589
4.38675e-008,1.2590
4.39099e-008,1.2592
4.39523e-008,1.2594
4.39947e-008,1.2594
4.40372e-008,1.2592
4.40796e-008,1.2591
