.HEADER
..NAMES
Time,V U2.T8
.DATA
3.79800e-008,0.2468
3.80259e-008,0.2485
3.80718e-008,0.2502
3.81178e-008,0.2511
3.81637e-008,0.2510
3.82096e-008,0.2499
3.82555e-008,0.2483
3.83015e-008,0.2468
3.83474e-008,0.2461
3.83933e-008,0.2464
3.84392e-008,0.2475
3.84852e-008,0.2490
3.85311e-008,0.2502
3.85770e-008,0.2506
3.86229e-008,0.2501
3.86689e-008,0.2489
3.87148e-008,0.2476
3.87607e-008,0.2467
3.88066e-008,0.2466
3.88526e-008,0.2473
3.88985e-008,0.2484
3.89444e-008,0.2493
3.89903e-008,0.2498
3.90363e-008,0.2496
3.90822e-008,0.2490
3.91281e-008,0.2481
3.91740e-008,0.2475
3.92199e-008,0.2472
3.92659e-008,0.2474
3.93118e-008,0.2479
3.93577e-008,0.2486
3.94036e-008,0.2490
3.94496e-008,0.2492
3.94955e-008,0.2489
3.95414e-008,0.2484
3.95873e-008,0.2479
3.96333e-008,0.2475
3.96792e-008,0.2475
3.97251e-008,0.2477
3.97710e-008,0.2482
3.98170e-008,0.2486
3.98629e-008,0.2489
3.99088e-008,0.2488
3.99547e-008,0.2485
4.00007e-008,0.2481
4.00466e-008,0.2477
4.00925e-008,0.2481
4.01384e-008,0.2579
4.01844e-008,0.3087
4.02303e-008,0.4115
4.02762e-008,0.5394
4.03221e-008,0.6970
4.03681e-008,0.8711
4.04140e-008,1.0169
4.04599e-008,1.1145
4.05058e-008,1.1654
4.05518e-008,1.1714
4.05977e-008,1.1462
4.06436e-008,1.1174
4.06895e-008,1.1020
4.07355e-008,1.1101
4.07814e-008,1.1405
4.08273e-008,1.1800
4.08732e-008,1.2149
4.09192e-008,1.2385
4.09651e-008,1.2465
4.10110e-008,1.2406
4.10569e-008,1.2286
4.11029e-008,1.2177
4.11488e-008,1.2136
4.11947e-008,1.2172
4.12407e-008,1.2264
4.12866e-008,1.2385
4.13325e-008,1.2484
4.13784e-008,1.2507
4.14244e-008,1.2454
4.14703e-008,1.2358
4.15162e-008,1.2252
4.15621e-008,1.2183
4.16081e-008,1.2185
4.16540e-008,1.2244
4.16999e-008,1.2315
4.17458e-008,1.2356
4.17918e-008,1.2341
4.18377e-008,1.2271
4.18836e-008,1.2178
4.19295e-008,1.2106
4.19755e-008,1.2074
4.20214e-008,1.1966
4.20673e-008,1.1479
4.21132e-008,1.0598
4.21592e-008,0.9484
4.22051e-008,0.8028
4.22510e-008,0.6362
4.22969e-008,0.4861
4.23429e-008,0.3779
4.23888e-008,0.3153
4.24347e-008,0.2972
4.24806e-008,0.3120
4.25266e-008,0.3384
4.25725e-008,0.3585
4.26184e-008,0.3593
4.26643e-008,0.3392
4.27103e-008,0.3064
4.27562e-008,0.2714
4.28021e-008,0.2426
4.28480e-008,0.2279
4.28940e-008,0.2287
4.29399e-008,0.2398
4.29858e-008,0.2530
4.30317e-008,0.2608
4.30777e-008,0.2605
4.31236e-008,0.2521
4.31695e-008,0.2384
4.32154e-008,0.2256
4.32613e-008,0.2199
4.33073e-008,0.2224
4.33532e-008,0.2312
4.33991e-008,0.2424
4.34450e-008,0.2511
4.34910e-008,0.2536
4.35369e-008,0.2501
4.35828e-008,0.2437
4.36287e-008,0.2386
4.36747e-008,0.2376
4.37206e-008,0.2418
4.37665e-008,0.2495
4.38124e-008,0.2575
4.38584e-008,0.2622
4.39043e-008,0.2615
4.39502e-008,0.2558
4.39961e-008,0.2477
4.40421e-008,0.2403
4.40880e-008,0.2363
4.41339e-008,0.2370
4.41798e-008,0.2419
4.42258e-008,0.2489
4.42717e-008,0.2554
4.43176e-008,0.2591
4.43635e-008,0.2590
4.44095e-008,0.2553
4.44554e-008,0.2496
4.45013e-008,0.2443
4.45472e-008,0.2414
4.45932e-008,0.2419
4.46391e-008,0.2453
4.46850e-008,0.2500
4.47309e-008,0.2539
4.47769e-008,0.2554
4.48228e-008,0.2540
4.48687e-008,0.2506
4.49146e-008,0.2468
4.49606e-008,0.2443
4.50065e-008,0.2439
4.50524e-008,0.2456
4.50983e-008,0.2484
4.51443e-008,0.2511
4.51902e-008,0.2524
4.52361e-008,0.2520
4.52821e-008,0.2502
4.53280e-008,0.2480
4.53739e-008,0.2462
4.54198e-008,0.2456
4.54658e-008,0.2463
4.55117e-008,0.2479
4.55576e-008,0.2496
4.56035e-008,0.2508
4.56495e-008,0.2510
4.56954e-008,0.2502
4.57413e-008,0.2487
4.57872e-008,0.2471
4.58332e-008,0.2461
4.58791e-008,0.2461
4.59250e-008,0.2470
4.59709e-008,0.2485
4.60169e-008,0.2498
4.60628e-008,0.2505
4.61087e-008,0.2502
4.61546e-008,0.2492
4.62006e-008,0.2479
4.62465e-008,0.2468
4.62924e-008,0.2465
4.63383e-008,0.2469
4.63843e-008,0.2479
4.64302e-008,0.2490
4.64761e-008,0.2496
4.65220e-008,0.2496
4.65680e-008,0.2491
4.66139e-008,0.2483
4.66598e-008,0.2475
4.67057e-008,0.2471
4.67517e-008,0.2472
4.67976e-008,0.2477
4.68435e-008,0.2483
4.68894e-008,0.2488
4.69354e-008,0.2491
4.69813e-008,0.2489
4.70272e-008,0.2485
4.70731e-008,0.2480
4.71190e-008,0.2475
4.71650e-008,0.2474
4.72109e-008,0.2476
4.72568e-008,0.2480
4.73027e-008,0.2484
4.73487e-008,0.2487
4.73946e-008,0.2488
4.74405e-008,0.2485
4.74864e-008,0.2481
4.75324e-008,0.2477
4.75783e-008,0.2477
4.76242e-008,0.2523
4.76701e-008,0.2867
4.77161e-008,0.3760
4.77620e-008,0.4975
4.78079e-008,0.6447
4.78538e-008,0.8183
4.78998e-008,0.9766
4.79457e-008,1.0894
4.79916e-008,1.1544
4.80375e-008,1.1739
4.80835e-008,1.1555
4.81294e-008,1.1254
4.81753e-008,1.1045
4.82212e-008,1.1048
4.82672e-008,1.1294
4.83131e-008,1.1677
4.83590e-008,1.2050
4.84049e-008,1.2326
4.84509e-008,1.2457
4.84968e-008,1.2434
4.85427e-008,1.2324
4.85886e-008,1.2205
4.86346e-008,1.2140
4.86805e-008,1.2153
4.87264e-008,1.2230
4.87723e-008,1.2346
4.88183e-008,1.2459
4.88642e-008,1.2508
4.89101e-008,1.2476
