.HEADER
..NAMES
Time,V U2.F3&G3
.DATA
4.13644e-008,1.2331
4.14068e-008,1.2455
4.14492e-008,1.2580
4.14916e-008,1.2703
4.15341e-008,1.2752
4.15765e-008,1.2755
4.16189e-008,1.2753
4.16614e-008,1.2737
4.17038e-008,1.2684
4.17462e-008,1.2644
4.17886e-008,1.2641
4.18311e-008,1.2554
4.18735e-008,1.2111
4.19159e-008,1.0663
4.19583e-008,0.9024
4.20007e-008,0.7337
4.20432e-008,0.5534
4.20856e-008,0.4170
4.21280e-008,0.3292
4.21704e-008,0.2741
4.22129e-008,0.2396
4.22553e-008,0.2276
4.22977e-008,0.2251
4.23402e-008,0.2186
4.23826e-008,0.2066
4.24250e-008,0.1943
4.24674e-008,0.1903
4.25098e-008,0.1945
4.25523e-008,0.1977
4.25947e-008,0.1971
4.26371e-008,0.1997
4.26795e-008,0.2055
4.27220e-008,0.2069
4.27644e-008,0.2138
4.28068e-008,0.2429
4.28493e-008,0.3507
4.28917e-008,0.4842
4.29341e-008,0.6416
4.29765e-008,0.8231
4.30190e-008,0.9611
4.30614e-008,1.0638
4.31038e-008,1.1365
4.31462e-008,1.1852
4.31886e-008,1.2132
4.32311e-008,1.2303
4.32735e-008,1.2432
4.33159e-008,1.2553
4.33584e-008,1.2682
4.34008e-008,1.2749
4.34432e-008,1.2755
4.34856e-008,1.2755
4.35281e-008,1.2742
4.35705e-008,1.2697
4.36129e-008,1.2646
4.36553e-008,1.2645
4.36977e-008,1.2581
4.37402e-008,1.2267
4.37826e-008,1.1005
4.38250e-008,0.9322
4.38675e-008,0.7700
4.39099e-008,0.5860
4.39523e-008,0.4394
4.39947e-008,0.3434
4.40372e-008,0.2832
4.40796e-008,0.2445
4.41220e-008,0.2287
4.41644e-008,0.2257
4.42068e-008,0.2204
4.42493e-008,0.2092
4.42917e-008,0.1963
4.43341e-008,0.1902
4.43765e-008,0.1935
4.44190e-008,0.1974
4.44614e-008,0.1974
4.45038e-008,0.1986
4.45463e-008,0.2047
4.45887e-008,0.2065
4.46311e-008,0.2116
4.46735e-008,0.2326
4.47160e-008,0.3242
4.47584e-008,0.4587
4.48008e-008,0.6059
4.48432e-008,0.7906
4.48856e-008,0.9372
4.49281e-008,1.0461
4.49705e-008,1.1244
4.50129e-008,1.1774
4.50554e-008,1.2089
4.50978e-008,1.2274
