.HEADER
..NAMES
Time,V U2.C7&B7
.DATA
3.62734e-008,1.0502
3.63158e-008,0.8336
3.63582e-008,0.4285
3.64006e-008,0.0842
3.64431e-008,-0.2278
3.64855e-008,-0.4798
3.65279e-008,-0.6555
3.65703e-008,-0.7946
3.66128e-008,-0.8988
3.66552e-008,-0.9661
3.66976e-008,-1.0064
3.67401e-008,-1.0310
3.67825e-008,-1.0431
3.68249e-008,-1.0535
3.68673e-008,-1.0544
3.69097e-008,-1.0549
3.69522e-008,-1.0680
3.69946e-008,-1.0828
3.70370e-008,-1.0874
3.70794e-008,-1.0780
3.71219e-008,-1.0869
3.71643e-008,-1.0937
3.72067e-008,-1.0605
3.72492e-008,-0.8685
3.72916e-008,-0.4690
3.73340e-008,-0.1176
3.73764e-008,0.1970
3.74189e-008,0.4565
3.74613e-008,0.6391
3.75037e-008,0.7799
3.75461e-008,0.8896
3.75885e-008,0.9597
3.76310e-008,1.0014
3.76734e-008,1.0273
3.77158e-008,1.0397
3.77583e-008,1.0501
3.78007e-008,1.0526
3.78431e-008,1.0526
3.78855e-008,1.0645
3.79280e-008,1.0795
3.79704e-008,1.0857
3.80128e-008,1.0765
3.80552e-008,1.0837
3.80976e-008,1.0924
3.81401e-008,1.0652
3.81825e-008,0.8975
3.82249e-008,0.5070
3.82673e-008,0.1481
3.83098e-008,-0.1691
3.83522e-008,-0.4359
3.83946e-008,-0.6255
3.84371e-008,-0.7681
3.84795e-008,-0.8822
3.85219e-008,-0.9551
3.85643e-008,-0.9993
3.86067e-008,-1.0269
3.86492e-008,-1.0417
3.86916e-008,-1.0539
3.87340e-008,-1.0581
3.87764e-008,-1.0579
3.88189e-008,-1.0679
3.88613e-008,-1.0823
3.89037e-008,-1.0906
3.89462e-008,-1.0817
3.89886e-008,-1.0864
3.90310e-008,-1.0962
3.90734e-008,-1.0729
3.91159e-008,-0.9274
3.91583e-008,-0.5487
3.92007e-008,-0.1798
3.92431e-008,0.1389
3.92855e-008,0.4124
3.93280e-008,0.6102
3.93704e-008,0.7546
3.94128e-008,0.8724
3.94553e-008,0.9486
3.94977e-008,0.9953
3.95401e-008,1.0240
3.95825e-008,1.0387
3.96250e-008,1.0496
3.96674e-008,1.0536
3.97098e-008,1.0521
3.97522e-008,1.0617
3.97946e-008,1.0769
3.98371e-008,1.0865
3.98795e-008,1.0783
3.99219e-008,1.0806
3.99644e-008,1.0925
4.00068e-008,1.0752
4.00492e-008,0.9513
4.00916e-008,0.5888
4.01341e-008,0.2120
4.01765e-008,-0.1089
4.02189e-008,-0.3897
4.02613e-008,-0.5943
4.03037e-008,-0.7412
4.03462e-008,-0.8636
4.03886e-008,-0.9431
4.04310e-008,-0.9925
4.04734e-008,-1.0225
4.05159e-008,-1.0360
4.05583e-008,-1.0451
4.06007e-008,-1.0510
4.06432e-008,-1.0492
4.06856e-008,-1.0583
4.07280e-008,-1.0749
4.07704e-008,-1.0849
4.08128e-008,-1.0777
4.08553e-008,-1.0794
4.08977e-008,-1.0934
4.09401e-008,-1.0808
4.09825e-008,-0.9769
4.10250e-008,-0.6326
4.10674e-008,-0.2463
4.11098e-008,0.0756
4.11523e-008,0.3629
4.11947e-008,0.5758
4.12371e-008,0.7254
4.12795e-008,0.8523
4.13220e-008,0.9360
4.13644e-008,0.9868
4.14068e-008,1.0179
4.14492e-008,1.0348
4.14916e-008,1.0453
4.15341e-008,1.0524
4.15765e-008,1.0516
4.16189e-008,1.0585
4.16614e-008,1.0736
4.17038e-008,1.0853
4.17462e-008,1.0799
4.17886e-008,1.0784
4.18311e-008,1.0921
4.18735e-008,1.0825
4.19159e-008,0.9942
4.19583e-008,0.6714
4.20007e-008,0.2776
4.20432e-008,-0.0471
4.20856e-008,-0.3402
4.21280e-008,-0.5607
4.21704e-008,-0.7140
4.22129e-008,-0.8434
4.22553e-008,-0.9301
4.22977e-008,-0.9847
4.23402e-008,-1.0175
4.23826e-008,-1.0367
4.24250e-008,-1.0495
4.24674e-008,-1.0576
4.25098e-008,-1.0574
4.25523e-008,-1.0626
4.25947e-008,-1.0767
4.26371e-008,-1.0893
4.26795e-008,-1.0858
4.27220e-008,-1.0816
4.27644e-008,-1.0948
4.28068e-008,-1.0878
4.28493e-008,-1.0128
4.28917e-008,-0.7131
4.29341e-008,-0.3121
4.29765e-008,0.0160
4.30190e-008,0.3139
4.30614e-008,0.5424
4.31038e-008,0.7001
4.31462e-008,0.8320
4.31886e-008,0.9224
4.32311e-008,0.9802
4.32735e-008,1.0143
4.33159e-008,1.0343
4.33584e-008,1.0455
4.34008e-008,1.0534
