.HEADER
..NAMES
Time,V U1.M24
.DATA
4.18311e-008,1.2635
4.18735e-008,1.2635
4.19159e-008,1.2635
4.19583e-008,1.2635
4.20007e-008,1.2635
4.20432e-008,1.2635
4.20856e-008,1.2635
4.21280e-008,1.2635
4.21704e-008,1.2635
4.22129e-008,1.2635
4.22553e-008,1.2635
4.22977e-008,1.2635
4.23402e-008,1.2635
4.23826e-008,1.2635
4.24250e-008,1.2635
4.24674e-008,1.2635
4.25098e-008,1.2635
4.25523e-008,1.2634
4.25947e-008,1.2634
4.26371e-008,1.2634
4.26795e-008,1.2634
4.27220e-008,1.2634
4.27644e-008,1.2634
4.28068e-008,1.2634
4.28493e-008,1.2634
4.28917e-008,1.2634
4.29341e-008,1.2634
4.29765e-008,1.2634
4.30190e-008,1.2634
4.30614e-008,1.2634
4.31038e-008,1.2634
4.31462e-008,1.2634
4.31886e-008,1.2634
4.32311e-008,1.2634
4.32735e-008,1.2634
4.33159e-008,1.2634
4.33584e-008,1.2634
4.34008e-008,1.2634
4.34432e-008,1.2634
4.34856e-008,1.2634
4.35281e-008,1.2634
4.35705e-008,1.2634
4.36129e-008,1.2634
4.36553e-008,1.2634
4.36977e-008,1.2634
4.37402e-008,1.2634
4.37826e-008,1.2634
4.38250e-008,1.2634
4.38675e-008,1.2634
4.39099e-008,1.2634
4.39523e-008,1.2634
4.39947e-008,1.2634
4.40372e-008,1.2634
4.40796e-008,1.2634
4.41220e-008,1.2634
4.41644e-008,1.2634
4.42068e-008,1.2634
4.42493e-008,1.2634
4.42917e-008,1.2634
4.43341e-008,1.2634
4.43765e-008,1.2634
4.44190e-008,1.2634
4.44614e-008,1.2634
4.45038e-008,1.2634
4.45463e-008,1.2634
4.45887e-008,1.2634
4.46311e-008,1.2634
4.46735e-008,1.2634
4.47160e-008,1.2634
4.47584e-008,1.2634
4.48008e-008,1.2634
4.48432e-008,1.2634
4.48856e-008,1.2634
4.49281e-008,1.2634
4.49705e-008,1.2634
4.50129e-008,1.2634
4.50554e-008,1.2634
4.50978e-008,1.2634
4.51402e-008,1.2634
4.51826e-008,1.2634
