.HEADER
..NAMES
Time,V U1.W26
.DATA
2.88914e-008,0.1779
2.89339e-008,0.1975
2.89763e-008,0.2414
2.90187e-008,0.2703
2.90611e-008,0.2901
2.91035e-008,0.2836
2.91460e-008,0.2581
2.91884e-008,0.2695
2.92308e-008,0.2961
2.92733e-008,0.3012
2.93157e-008,0.2955
2.93581e-008,0.2845
2.94005e-008,0.2456
2.94429e-008,0.1989
2.94854e-008,0.2142
2.95278e-008,0.3936
2.95702e-008,0.5873
2.96127e-008,0.7964
2.96551e-008,0.9736
2.96975e-008,1.1029
2.97399e-008,1.1841
2.97824e-008,1.2490
2.98248e-008,1.2849
2.98672e-008,1.2776
2.99096e-008,1.2406
2.99521e-008,1.2105
2.99945e-008,1.1864
3.00369e-008,1.1926
3.00793e-008,1.2174
3.01218e-008,1.2140
3.01642e-008,1.1939
3.02066e-008,1.1809
3.02490e-008,1.1759
3.02914e-008,1.1845
3.03339e-008,1.2193
3.03763e-008,1.2621
3.04187e-008,1.2763
3.04612e-008,1.2745
3.05036e-008,1.2740
3.05460e-008,1.2683
3.05884e-008,1.2629
3.06309e-008,1.2610
3.06733e-008,1.2583
3.07157e-008,1.2486
3.07581e-008,1.2432
3.08005e-008,1.2498
3.08430e-008,1.2590
3.08854e-008,1.2691
3.09278e-008,1.2736
3.09702e-008,1.2676
3.10127e-008,1.2612
3.10551e-008,1.2611
3.10975e-008,1.2635
3.11400e-008,1.2660
3.11824e-008,1.2696
3.12248e-008,1.2693
3.12672e-008,1.2623
3.13096e-008,1.2586
3.13521e-008,1.2438
3.13945e-008,1.0758
3.14369e-008,0.8657
3.14793e-008,0.6856
3.15218e-008,0.5133
3.15642e-008,0.3606
3.16066e-008,0.2805
3.16491e-008,0.2327
3.16915e-008,0.2052
3.17339e-008,0.1999
3.17763e-008,0.2301
3.18188e-008,0.2507
3.18612e-008,0.2714
3.19036e-008,0.2813
3.19460e-008,0.2671
3.19884e-008,0.2649
3.20309e-008,0.2877
3.20733e-008,0.2952
3.21157e-008,0.2901
3.21582e-008,0.2863
3.22006e-008,0.2670
3.22430e-008,0.2220
3.22854e-008,0.1973
3.23279e-008,0.2013
3.23703e-008,0.1997
3.24127e-008,0.2001
3.24551e-008,0.2108
3.24975e-008,0.2194
3.25400e-008,0.2199
3.25824e-008,0.2241
3.26248e-008,0.2316
3.26672e-008,0.2280
3.27097e-008,0.2205
3.27521e-008,0.2150
3.27945e-008,0.2094
3.28370e-008,0.2111
3.28794e-008,0.2167
3.29218e-008,0.2167
3.29642e-008,0.2143
3.30066e-008,0.2146
3.30491e-008,0.2128
3.30915e-008,0.2093
3.31339e-008,0.2138
3.31763e-008,0.2200
3.32188e-008,0.2187
3.32612e-008,0.2169
3.33036e-008,0.2185
3.33461e-008,0.2185
3.33885e-008,0.2164
3.34309e-008,0.2172
3.34733e-008,0.2183
3.35158e-008,0.2156
3.35582e-008,0.2139
3.36006e-008,0.2149
3.36430e-008,0.2160
3.36854e-008,0.2173
3.37279e-008,0.2182
3.37703e-008,0.2173
3.38127e-008,0.2163
3.38552e-008,0.2165
3.38976e-008,0.2164
3.39400e-008,0.2163
3.39824e-008,0.2175
3.40249e-008,0.2178
3.40673e-008,0.2162
3.41097e-008,0.2158
3.41521e-008,0.2168
3.41945e-008,0.2168
3.42370e-008,0.2163
3.42794e-008,0.2169
3.43218e-008,0.2170
3.43643e-008,0.2161
3.44067e-008,0.2162
3.44491e-008,0.2170
3.44915e-008,0.2172
3.45340e-008,0.2169
3.45764e-008,0.2168
3.46188e-008,0.2165
3.46612e-008,0.2164
3.47036e-008,0.2166
3.47461e-008,0.2168
3.47885e-008,0.2168
3.48309e-008,0.2169
3.48733e-008,0.2167
