.HEADER
..NAMES
Time,V U1.P24
.DATA
3.65703e-008,0.2163
3.66128e-008,0.2160
3.66552e-008,0.2158
3.66976e-008,0.2160
3.67401e-008,0.2166
3.67825e-008,0.2172
3.68249e-008,0.2177
3.68673e-008,0.2177
3.69097e-008,0.2172
3.69522e-008,0.2195
3.69946e-008,0.3387
3.70370e-008,0.5270
3.70794e-008,0.7383
3.71219e-008,0.9431
3.71643e-008,1.0713
3.72067e-008,1.1398
3.72492e-008,1.1760
3.72916e-008,1.1829
3.73340e-008,1.2020
3.73764e-008,1.2079
3.74189e-008,1.2131
3.74613e-008,1.2239
3.75037e-008,1.2328
3.75461e-008,1.2439
3.75885e-008,1.2441
3.76310e-008,1.2329
3.76734e-008,1.2128
3.77158e-008,1.1868
3.77583e-008,1.1706
3.78007e-008,1.1754
3.78431e-008,1.1935
3.78855e-008,1.2084
3.79280e-008,1.0629
3.79704e-008,0.8121
3.80128e-008,0.6027
3.80552e-008,0.4114
3.80976e-008,0.3082
3.81401e-008,0.2783
3.81825e-008,0.2611
3.82249e-008,0.2738
3.82673e-008,0.2669
3.83098e-008,0.2627
3.83522e-008,0.2616
3.83946e-008,0.2483
3.84371e-008,0.2333
3.84795e-008,0.2238
3.85219e-008,0.2278
3.85643e-008,0.2486
3.86067e-008,0.2762
3.86492e-008,0.3072
3.86916e-008,0.3236
3.87340e-008,0.3065
3.87764e-008,0.2757
3.88189e-008,0.2366
3.88613e-008,0.2065
3.89037e-008,0.2025
3.89462e-008,0.2121
3.89886e-008,0.2255
3.90310e-008,0.2327
3.90734e-008,0.2293
3.91159e-008,0.2232
3.91583e-008,0.2175
3.92007e-008,0.2136
3.92431e-008,0.2141
3.92855e-008,0.2152
3.93280e-008,0.2162
3.93704e-008,0.2187
3.94128e-008,0.2212
3.94553e-008,0.2224
3.94977e-008,0.2203
3.95401e-008,0.2161
3.95825e-008,0.2117
3.96250e-008,0.2082
3.96674e-008,0.2082
3.97098e-008,0.2116
3.97522e-008,0.2160
3.97946e-008,0.2197
3.98371e-008,0.2209
3.98795e-008,0.2194
3.99219e-008,0.2170
3.99644e-008,0.2150
4.00068e-008,0.2147
4.00492e-008,0.2157
4.00916e-008,0.2168
4.01341e-008,0.2176
4.01765e-008,0.2177
4.02189e-008,0.2173
4.02613e-008,0.2169
4.03037e-008,0.2165
4.03462e-008,0.2162
4.03886e-008,0.2159
4.04310e-008,0.2159
4.04734e-008,0.2163
4.05159e-008,0.2170
4.05583e-008,0.2175
4.06007e-008,0.2178
4.06432e-008,0.2175
4.06856e-008,0.2169
4.07280e-008,0.2164
4.07704e-008,0.2161
4.08128e-008,0.2163
4.08553e-008,0.2166
4.08977e-008,0.2169
4.09401e-008,0.2171
4.09825e-008,0.2170
4.10250e-008,0.2168
4.10674e-008,0.2166
4.11098e-008,0.2166
4.11523e-008,0.2166
4.11947e-008,0.2167
4.12371e-008,0.2168
4.12795e-008,0.2168
4.13220e-008,0.2169
4.13644e-008,0.2169
4.14068e-008,0.2168
4.14492e-008,0.2168
4.14916e-008,0.2167
4.15341e-008,0.2166
4.15765e-008,0.2167
4.16189e-008,0.2167
4.16614e-008,0.2643
4.17038e-008,0.4370
4.17462e-008,0.6205
4.17886e-008,0.8567
4.18311e-008,1.0173
4.18735e-008,1.1101
4.19159e-008,1.1617
4.19583e-008,1.1789
4.20007e-008,1.1943
4.20432e-008,1.2053
4.20856e-008,1.2113
4.21280e-008,1.2175
4.21704e-008,1.2298
4.22129e-008,1.2377
4.22553e-008,1.2462
4.22977e-008,1.2394
4.23402e-008,1.2236
4.23826e-008,1.2000
4.24250e-008,1.1757
4.24674e-008,1.1717
4.25098e-008,1.1828
4.25523e-008,1.2078
4.25947e-008,1.1675
4.26371e-008,0.9279
4.26795e-008,0.7110
4.27220e-008,0.4920
4.27644e-008,0.3480
4.28068e-008,0.2895
4.28493e-008,0.2675
4.28917e-008,0.2671
4.29341e-008,0.2718
4.29765e-008,0.2646
4.30190e-008,0.2618
4.30614e-008,0.2575
4.31038e-008,0.2388
4.31462e-008,0.2287
4.31886e-008,0.2229
4.32311e-008,0.2373
4.32735e-008,0.2623
4.33159e-008,0.2919
4.33584e-008,0.3199
4.34008e-008,0.3178
4.34432e-008,0.2920
4.34856e-008,0.2563
4.35281e-008,0.2462
4.35705e-008,0.4192
4.36129e-008,0.6347
4.36553e-008,0.8877
4.36977e-008,1.0615
4.37402e-008,1.1459
4.37826e-008,1.1799
4.38250e-008,1.1887
4.38675e-008,1.1913
4.39099e-008,1.2043
4.39523e-008,1.2111
4.39947e-008,1.2161
4.40372e-008,1.2311
4.40796e-008,1.2419
4.41220e-008,1.2542
4.41644e-008,1.2461
4.42068e-008,1.2244
4.42493e-008,1.1953
4.42917e-008,1.1649
4.43341e-008,1.1581
4.43765e-008,1.1751
4.44190e-008,1.2074
4.44614e-008,1.2456
4.45038e-008,1.2680
4.45463e-008,1.2688
4.45887e-008,1.2581
4.46311e-008,1.2447
4.46735e-008,1.2416
4.47160e-008,1.2477
4.47584e-008,1.2559
4.48008e-008,1.2630
4.48432e-008,1.2651
4.48856e-008,1.2640
4.49281e-008,1.2629
4.49705e-008,1.2616
4.50129e-008,1.2598
4.50554e-008,1.2579
4.50978e-008,1.2573
4.51402e-008,1.2600
4.51826e-008,1.2644
