.HEADER
..NAMES
Time,V U1.J20
.DATA
3.97251e-008,1.2292
3.97710e-008,1.1930
3.98170e-008,1.0611
3.98629e-008,0.9214
3.99088e-008,0.7674
3.99547e-008,0.6055
4.00007e-008,0.4427
4.00466e-008,0.3327
4.00925e-008,0.2600
4.01384e-008,0.2220
4.01844e-008,0.2039
4.02303e-008,0.2029
4.02762e-008,0.1975
4.03221e-008,0.1947
4.03681e-008,0.1919
4.04140e-008,0.1928
4.04599e-008,0.1961
4.05058e-008,0.2104
4.05518e-008,0.2349
4.05977e-008,0.2690
4.06436e-008,0.3040
4.06895e-008,0.3324
4.07355e-008,0.3449
4.07814e-008,0.3400
4.08273e-008,0.3228
4.08732e-008,0.3036
4.09192e-008,0.2907
4.09651e-008,0.2889
4.10110e-008,0.2963
4.10569e-008,0.3054
4.11029e-008,0.3066
4.11488e-008,0.2948
4.11947e-008,0.2725
4.12407e-008,0.2476
4.12866e-008,0.2297
4.13325e-008,0.2247
4.13784e-008,0.2318
4.14244e-008,0.2456
4.14703e-008,0.2601
4.15162e-008,0.2700
4.15621e-008,0.2721
4.16081e-008,0.2670
4.16540e-008,0.2571
4.16999e-008,0.2456
4.17458e-008,0.2360
4.17918e-008,0.2309
4.18377e-008,0.2309
4.18836e-008,0.2350
4.19295e-008,0.2413
4.19755e-008,0.2467
4.20214e-008,0.2485
4.20673e-008,0.2457
4.21132e-008,0.2397
4.21592e-008,0.2334
4.22051e-008,0.2301
4.22510e-008,0.2315
4.22969e-008,0.2370
4.23429e-008,0.2440
4.23888e-008,0.2491
4.24347e-008,0.2501
4.24806e-008,0.2470
4.25266e-008,0.2418
4.25725e-008,0.2373
4.26184e-008,0.2355
4.26643e-008,0.2367
4.27103e-008,0.2399
4.27562e-008,0.2432
4.28021e-008,0.2452
4.28480e-008,0.2451
4.28940e-008,0.2435
4.29399e-008,0.2413
4.29858e-008,0.2395
4.30317e-008,0.2387
4.30777e-008,0.2390
4.31236e-008,0.2402
4.31695e-008,0.2420
4.32154e-008,0.2439
4.32613e-008,0.2452
4.33073e-008,0.2454
4.33532e-008,0.2443
4.33991e-008,0.2423
4.34450e-008,0.2402
4.34910e-008,0.2399
4.35369e-008,0.3119
4.35828e-008,0.4684
4.36287e-008,0.6342
4.36747e-008,0.8178
4.37206e-008,1.0032
4.37665e-008,1.1335
4.38124e-008,1.1982
4.38584e-008,1.2371
4.39043e-008,1.2543
4.39502e-008,1.2599
4.39961e-008,1.2650
4.40421e-008,1.2762
4.40880e-008,1.2807
4.41339e-008,1.2834
4.41798e-008,1.2820
4.42258e-008,1.2744
4.42717e-008,1.2544
4.43176e-008,1.2247
4.43635e-008,1.1853
4.44095e-008,1.1478
4.44554e-008,1.1219
4.45013e-008,1.1188
4.45472e-008,1.1365
4.45932e-008,1.1645
4.46391e-008,1.1865
4.46850e-008,1.1923
4.47309e-008,1.1798
4.47769e-008,1.1591
4.48228e-008,1.1452
4.48687e-008,1.1508
4.49146e-008,1.1764
4.49606e-008,1.2122
4.50065e-008,1.2428
4.50524e-008,1.2554
4.50983e-008,1.2470
4.51443e-008,1.2263
4.51902e-008,1.2050
4.52361e-008,1.1923
4.52821e-008,1.1925
4.53280e-008,1.2027
4.53739e-008,1.2159
4.54198e-008,1.2275
4.54658e-008,1.2358
4.55117e-008,1.2402
4.55576e-008,1.2409
4.56035e-008,1.2384
4.56495e-008,1.2327
4.56954e-008,1.2258
4.57413e-008,1.2211
4.57872e-008,1.2217
4.58332e-008,1.2281
4.58791e-008,1.2375
4.59250e-008,1.2449
4.59709e-008,1.2458
4.60169e-008,1.2393
4.60628e-008,1.2288
4.61087e-008,1.2197
4.61546e-008,1.2169
4.62006e-008,1.2213
4.62465e-008,1.2299
4.62924e-008,1.2379
4.63383e-008,1.2409
4.63843e-008,1.2383
4.64302e-008,1.2321
4.64761e-008,1.2262
4.65220e-008,1.2234
4.65680e-008,1.2246
4.66139e-008,1.2282
4.66598e-008,1.2320
4.67057e-008,1.2342
4.67517e-008,1.2343
4.67976e-008,1.2329
4.68435e-008,1.2310
4.68894e-008,1.2292
4.69354e-008,1.2278
4.69813e-008,1.2268
4.70272e-008,1.2265
4.70731e-008,1.2272
4.71190e-008,1.2292
4.71650e-008,1.2317
4.72109e-008,1.2337
4.72568e-008,1.2340
4.73027e-008,1.2322
4.73487e-008,1.2291
4.73946e-008,1.2263
4.74405e-008,1.2254
4.74864e-008,1.2268
4.75324e-008,1.2296
4.75783e-008,1.2324
4.76242e-008,1.2336
4.76701e-008,1.2326
4.77161e-008,1.2303
4.77620e-008,1.2280
4.78079e-008,1.2268
4.78538e-008,1.2273
4.78998e-008,1.2288
4.79457e-008,1.2304
4.79916e-008,1.2312
4.80375e-008,1.2311
4.80835e-008,1.2305
4.81294e-008,1.2297
4.81753e-008,1.2292
4.82212e-008,1.2290
4.82672e-008,1.2289
4.83131e-008,1.2290
4.83590e-008,1.2291
4.84049e-008,1.2295
4.84509e-008,1.2300
4.84968e-008,1.2304
4.85427e-008,1.2305
4.85886e-008,1.2301
4.86346e-008,1.2293
4.86805e-008,1.2285
4.87264e-008,1.2282
4.87723e-008,1.2286
4.88183e-008,1.2295
4.88642e-008,1.2304
4.89101e-008,1.2307
