.HEADER
..NAMES
Time,V U1.R21&P21
.DATA
2.70980e-008,1.2584
2.71320e-008,1.2452
2.71660e-008,1.2325
2.72000e-008,1.2221
2.72340e-008,1.2126
2.72680e-008,1.2102
2.73020e-008,1.2126
2.73360e-008,1.2202
2.73700e-008,1.2387
2.74040e-008,1.2629
2.74380e-008,1.2828
2.74720e-008,1.3016
2.75060e-008,1.3146
2.75400e-008,1.3210
2.75740e-008,1.3141
2.76080e-008,1.2420
2.76420e-008,1.0830
2.76760e-008,0.9097
2.77100e-008,0.7394
2.77440e-008,0.5933
2.77780e-008,0.4522
2.78120e-008,0.3305
2.78460e-008,0.2402
2.78800e-008,0.2087
2.79140e-008,0.1999
2.79480e-008,0.1899
2.79820e-008,0.1811
2.80160e-008,0.1836
2.80500e-008,0.1937
2.80840e-008,0.1893
2.81180e-008,0.1735
2.81520e-008,0.1595
2.81860e-008,0.1526
2.82200e-008,0.1273
2.82540e-008,0.0931
2.82880e-008,0.0650
2.83220e-008,0.0538
2.83560e-008,0.0565
2.83900e-008,0.0715
2.84240e-008,0.1001
2.84580e-008,0.1536
2.84920e-008,0.2234
2.85260e-008,0.2874
2.85600e-008,0.3583
2.85940e-008,0.4245
2.86280e-008,0.4888
2.86620e-008,0.5862
2.86960e-008,0.6892
2.87300e-008,0.8085
2.87640e-008,0.9331
2.87980e-008,1.0403
2.88320e-008,1.1242
2.88660e-008,1.1920
2.89000e-008,1.2356
2.89340e-008,1.2587
2.89680e-008,1.2596
2.90020e-008,1.2475
2.90360e-008,1.2341
2.90700e-008,1.2236
2.91040e-008,1.2138
2.91380e-008,1.2102
2.91720e-008,1.2121
2.92060e-008,1.2186
2.92400e-008,1.2354
2.92740e-008,1.2597
2.93080e-008,1.2801
2.93420e-008,1.2991
2.93760e-008,1.3133
2.94100e-008,1.3204
2.94440e-008,1.3179
2.94780e-008,1.2627
2.95120e-008,1.1097
2.95460e-008,0.9334
2.95800e-008,0.7638
2.96140e-008,0.6141
2.96480e-008,0.4722
2.96820e-008,0.3470
2.97160e-008,0.2503
2.97500e-008,0.2108
2.97840e-008,0.2017
2.98180e-008,0.1909
2.98520e-008,0.1826
2.98860e-008,0.1822
2.99200e-008,0.1930
2.99540e-008,0.1909
2.99880e-008,0.1764
3.00220e-008,0.1606
3.00560e-008,0.1546
3.00900e-008,0.1320
