.HEADER
..NAMES
Time,V U1.G24
.DATA
4.08128e-008,0.8510
4.08553e-008,0.8700
4.08977e-008,0.8951
4.09401e-008,0.9148
4.09825e-008,0.9353
4.10250e-008,0.9850
4.10674e-008,1.0768
4.11098e-008,1.1986
4.11523e-008,1.3338
4.11947e-008,1.3656
4.12371e-008,1.1361
4.12795e-008,0.9321
4.13220e-008,0.7812
4.13644e-008,0.6831
4.14068e-008,0.6278
4.14492e-008,0.6148
4.14916e-008,0.6100
4.15341e-008,0.6139
4.15765e-008,0.6310
4.16189e-008,0.6495
4.16614e-008,0.6675
4.17038e-008,0.6775
4.17462e-008,0.6624
4.17886e-008,0.6599
4.18311e-008,0.6815
4.18735e-008,0.6093
4.19159e-008,0.4265
4.19583e-008,0.2127
4.20007e-008,-0.0146
4.20432e-008,-0.2104
4.20856e-008,-0.2589
4.21280e-008,-0.1886
4.21704e-008,0.0825
4.22129e-008,0.3094
4.22553e-008,0.4571
4.22977e-008,0.5361
4.23402e-008,0.5663
4.23826e-008,0.5836
4.24250e-008,0.6153
4.24674e-008,0.6449
4.25098e-008,0.6523
4.25523e-008,0.6527
4.25947e-008,0.6609
4.26371e-008,0.6767
4.26795e-008,0.6897
4.27220e-008,0.7036
4.27644e-008,0.7231
4.28068e-008,0.8124
4.28493e-008,0.9897
4.28917e-008,1.2016
4.29341e-008,1.3935
4.29765e-008,1.5156
4.30190e-008,1.5217
4.30614e-008,1.4029
4.31038e-008,1.1060
4.31462e-008,0.8758
4.31886e-008,0.7814
4.32311e-008,0.7239
4.32735e-008,0.6785
4.33159e-008,0.6507
4.33584e-008,0.6323
4.34008e-008,0.6241
4.34432e-008,0.6390
4.34856e-008,0.6515
4.35281e-008,0.6584
4.35705e-008,0.6576
4.36129e-008,0.6453
4.36553e-008,0.6342
4.36977e-008,0.6256
4.37402e-008,0.5211
4.37826e-008,0.3120
4.38250e-008,0.1017
4.38675e-008,-0.0675
4.39099e-008,-0.1786
4.39523e-008,-0.1774
4.39947e-008,-0.1128
4.40372e-008,0.0694
4.40796e-008,0.2411
4.41220e-008,0.3482
4.41644e-008,0.4527
4.42068e-008,0.5215
4.42493e-008,0.5745
4.42917e-008,0.6144
