.HEADER
..NAMES
Time,V U1.F25
.DATA
3.93280e-008,1.2291
3.93704e-008,1.0081
3.94128e-008,0.7804
3.94553e-008,0.5743
3.94977e-008,0.4231
3.95401e-008,0.3378
3.95825e-008,0.3092
3.96250e-008,0.2966
3.96674e-008,0.2794
3.97098e-008,0.2743
3.97522e-008,0.2726
3.97946e-008,0.2742
3.98371e-008,0.2695
3.98795e-008,0.2471
3.99219e-008,0.2240
3.99644e-008,0.2390
4.00068e-008,0.2709
4.00492e-008,0.2864
4.00916e-008,0.3025
4.01341e-008,0.3005
4.01765e-008,0.2591
4.02189e-008,0.2055
4.02613e-008,0.2019
4.03037e-008,0.3620
4.03462e-008,0.5698
4.03886e-008,0.7980
4.04310e-008,0.9767
4.04734e-008,1.0797
4.05159e-008,1.1296
4.05583e-008,1.1542
4.06007e-008,1.1790
4.06432e-008,1.1890
4.06856e-008,1.1965
4.07280e-008,1.1945
4.07704e-008,1.1986
4.08128e-008,1.2181
4.08553e-008,1.2412
4.08977e-008,1.2394
4.09401e-008,1.2183
4.09825e-008,1.1971
4.10250e-008,1.1716
4.10674e-008,1.1698
4.11098e-008,1.2019
4.11523e-008,1.2490
4.11947e-008,1.2738
4.12371e-008,1.2854
4.12795e-008,1.2775
4.13220e-008,1.2610
4.13644e-008,1.2512
4.14068e-008,1.2518
4.14492e-008,1.2575
4.14916e-008,1.2605
4.15341e-008,1.2608
4.15765e-008,1.2591
4.16189e-008,1.2615
4.16614e-008,1.2660
4.17038e-008,1.2671
4.17462e-008,1.2627
4.17886e-008,1.2598
4.18311e-008,1.2575
4.18735e-008,1.2564
4.19159e-008,1.2619
4.19583e-008,1.2699
4.20007e-008,1.2714
4.20432e-008,1.2669
4.20856e-008,1.2625
4.21280e-008,1.2579
4.21704e-008,1.2564
4.22129e-008,1.2591
4.22553e-008,1.2629
4.22977e-008,1.2644
4.23402e-008,1.2636
4.23826e-008,1.2620
4.24250e-008,1.2614
4.24674e-008,1.2624
4.25098e-008,1.2630
4.25523e-008,1.2624
4.25947e-008,1.2616
4.26371e-008,1.2615
4.26795e-008,1.2612
4.27220e-008,1.2618
4.27644e-008,1.2635
4.28068e-008,1.2640
4.28493e-008,1.2624
4.28917e-008,1.2613
4.29341e-008,1.2610
4.29765e-008,1.2610
4.30190e-008,1.2619
4.30614e-008,1.2532
4.31038e-008,1.1151
4.31462e-008,0.8856
4.31886e-008,0.7053
4.32311e-008,0.5267
4.32735e-008,0.3975
4.33159e-008,0.3308
4.33584e-008,0.3089
4.34008e-008,0.2877
4.34432e-008,0.2806
4.34856e-008,0.2747
4.35281e-008,0.2711
4.35705e-008,0.2688
4.36129e-008,0.2591
4.36553e-008,0.2364
4.36977e-008,0.2329
4.37402e-008,0.2626
4.37826e-008,0.2773
4.38250e-008,0.2858
4.38675e-008,0.2966
4.39099e-008,0.2802
4.39523e-008,0.2306
4.39947e-008,0.2026
4.40372e-008,0.2946
4.40796e-008,0.4905
4.41220e-008,0.6934
4.41644e-008,0.9114
4.42068e-008,1.0443
4.42493e-008,1.1161
4.42917e-008,1.1471
4.43341e-008,1.1706
4.43765e-008,1.1840
4.44190e-008,1.1952
4.44614e-008,1.1965
4.45038e-008,1.1961
4.45463e-008,1.2092
4.45887e-008,1.2328
4.46311e-008,1.2422
4.46735e-008,1.2251
4.47160e-008,1.2071
4.47584e-008,1.1826
4.48008e-008,1.1680
4.48432e-008,1.1861
4.48856e-008,1.2305
4.49281e-008,1.2644
4.49705e-008,1.2806
4.50129e-008,1.2833
4.50554e-008,1.2681
4.50978e-008,1.2551
4.51402e-008,1.2505
4.51826e-008,1.2551
